mol_index_in_input	Score	Spheres	CapScore	MergedScore
1	-42.213435	10	8.139992	28.510665
2	-40.824736	10	8.142733	28.269615
3	-38.456194	10	9.208017	27.927166
4	-38.168356	10	9.191713	27.871693
5	-37.899897	10	7.629029	27.686360
6	-37.879962	5	10.000000	27.877779
7	-37.659212	10	9.163034	27.772567
8	-37.614231	10	9.192729	27.766280
9	-37.462121	5	10.000000	27.797767
10	-37.304438	10	7.515396	27.561301
11	-37.204305	5	10.000000	27.747952
12	-36.622102	10	8.182924	27.489522
13	-36.558792	10	7.549216	27.418896
14	-36.410022	5	10.000000	27.592283
15	-36.238422	10	9.188394	27.497148
16	-36.14643	10	9.166439	27.477087
17	-36.056649	10	9.150675	27.457906
18	-36.056233	5	10.000000	27.521848
19	-36.052431	10	9.203322	27.461201
20	-36.039152	3	8.400000	27.392660
21	-35.980208	5	10.000000	27.506622
22	-35.975505	10	7.324305	27.281061
23	-35.933092	10	7.843416	27.321947
24	-35.905412	10	9.952430	27.488171
25	-35.794157	10	9.208294	27.409728
26	-35.762212	5	10.000000	27.462784
27	-35.760175	10	2.359889	26.420769
28	-35.622598	10	8.941049	27.353826
29	-35.620322	5	10.000000	27.434107
30	-35.595319	10	8.127209	27.279458
31	-35.594631	5	10.000000	27.428903
32	-35.568565	10	8.057065	27.267782
33	-35.470692	10	2.114070	26.282790
34	-35.416135	10	2.041373	26.246444
35	-35.404279	10	9.204376	27.330419
36	-35.388891	10	9.208101	27.327575
37	-35.358472	10	9.149763	27.316787
38	-35.354236	10	9.953396	27.376650
39	-35.338698	10	7.563881	27.175448
40	-35.30336	10	9.212992	27.310503
41	-35.20143	10	6.999116	27.091397
42	-35.197939	10	8.990857	27.271325
43	-35.16579	10	9.204723	27.281691
44	-35.105112	5	10.000000	27.329010
45	-35.097335	10	9.193699	27.266771
46	-35.004086	10	9.197773	27.247899
47	-34.998287	10	9.212816	27.247883
48	-34.943758	10	9.190935	27.234920
49	-34.892916	5	10.000000	27.285275
50	-34.874876	10	9.212817	27.222402
51	-34.841681	5	10.000000	27.274676
52	-34.781341	10	8.516091	27.146304
53	-34.753099	10	9.190660	27.195433
54	-34.62673	10	7.584230	27.030573
55	-34.591559	10	7.378624	27.003417
56	-34.568701	10	9.205351	27.158209
57	-34.359463	5	10.000000	27.174142
58	-34.342168	10	5.476818	26.736215
59	-34.294997	5	10.000000	27.160595
60	-34.28877	10	9.205532	27.099572
61	-34.248297	10	9.177720	27.088870
62	-34.244809	0	0.000000	-1000.000000
63	-34.195005	10	9.119865	27.073075
64	-34.15707	7	10.000000	27.131526
65	-34.14489	0	0.000000	-1000.000000
66	-34.102606	10	8.223557	26.978932
67	-34.099404	3	8.400000	26.993568
68	-34.091567	10	8.116676	26.967160
69	-34.068823	10	9.445054	27.071681
70	-34.041766	10	7.603928	26.909542
71	-33.970378	10	9.220940	27.033484
72	-33.970007	10	9.214477	27.032899
73	-33.939792	10	9.206204	27.025832
74	-33.931662	10	5.745883	26.684065
75	-33.911651	5	10.000000	27.079510
76	-33.854857	10	2.034438	25.918770
77	-33.826802	10	9.394570	27.016388
78	-33.808786	10	9.206074	26.997925
79	-33.78928	10	7.468760	26.842903
80	-33.782808	0	0.000000	-1000.000000
81	-33.723278	5	10.000000	27.039328
82	-33.718369	10	9.924772	27.032831
83	-33.717609	3	8.400000	26.912346
84	-33.701326	10	7.964298	26.870441
85	-33.695772	3	8.400000	26.907673
86	-33.666991	10	3.725892	26.315107
87	-33.661544	10	9.957061	27.023007
88	-33.65846	6	10.000000	27.025450
89	-33.642409	10	9.953005	27.018612
90	-33.622993	10	8.112768	26.866978
91	-33.617111	10	7.547940	26.813661
92	-33.602709	3	8.400000	26.887723
93	-33.601131	10	8.009890	26.853081
94	-33.571722	6	10.000000	27.006837
95	-33.553167	4	9.600000	26.973402
96	-33.544848	10	9.952392	26.997618
97	-33.528367	10	9.952023	26.994046
98	-33.43194	10	9.168264	26.914100
99	-33.392133	6	10.000000	26.968146
100	-33.389159	10	9.351878	26.919167
101	-33.355256	10	6.315455	26.628654
102	-33.311393	10	3.945155	26.279760
103	-33.302026	10	9.951704	26.945162
104	-33.27562	4	9.600000	26.913485
105	-33.268395	10	8.052716	26.785140
106	-33.247448	10	6.203073	26.592350
107	-33.20682	10	9.193475	26.867343
108	-33.202928	10	7.270293	26.697200
109	-33.202594	10	7.762432	26.744375
110	-33.186687	10	7.433617	26.709696
111	-33.17746	10	7.547962	26.718701
112	-33.170634	10	9.186186	26.858906
113	-33.155562	4	9.600000	26.887412
114	-33.14064	10	8.151798	26.766207
115	-33.14048	10	9.188428	26.852522
116	-33.091648	10	9.203995	26.843106
117	-33.087583	5	10.000000	26.902054
118	-33.083891	10	8.385623	26.774244
119	-33.083715	10	9.164967	26.838312
120	-33.038132	10	7.471294	26.680980
121	-33.01084	10	9.202342	26.825340
122	-32.998216	10	9.951735	26.879055
123	-32.99539	10	7.294299	26.654347
124	-32.987481	4	9.600000	26.850751
125	-32.93936	10	9.949875	26.866042
126	-32.933979	3	8.400000	26.742719
127	-32.917627	10	9.943645	26.860830
128	-32.89696	10	9.843670	26.849010
129	-32.893949	10	8.777695	26.765673
130	-32.888985	10	1.892571	25.657837
131	-32.882526	5	10.000000	26.857210
132	-32.859103	5	10.000000	26.852070
133	-32.858492	5	10.000000	26.851936
134	-32.843654	5	10.000000	26.848678
135	-32.791957	10	7.962112	26.672926
136	-32.791936	10	9.942722	26.833166
137	-32.785303	2	6.400000	26.513923
138	-32.758729	10	9.949085	26.826319
139	-32.754297	4	9.600000	26.799579
140	-32.732435	5	10.000000	26.824209
141	-32.725961	2	6.400000	26.500854
142	-32.724962	5	10.000000	26.822562
143	-32.724259	10	9.914212	26.816192
144	-32.697592	10	9.947425	26.812724
145	-32.668953	3	8.400000	26.684436
146	-32.666213	1	-100.000000	-1000.000000
147	-32.658789	10	9.172817	26.745679
148	-32.655168	10	7.955049	26.642133
149	-32.644296	10	6.701993	26.516090
150	-32.636111	5	10.000000	26.802950
151	-32.627068	10	9.945190	26.796987
152	-32.619194	10	8.520708	26.683733
153	-32.614516	10	9.214977	26.739202
154	-32.59872	10	8.071959	26.640176
155	-32.5732	10	8.052214	26.632761
156	-32.55791	10	8.028969	26.627288
157	-32.557377	6	10.000000	26.785527
158	-32.543049	10	9.172105	26.720014
159	-32.543008	6	10.000000	26.782343
160	-32.523639	4	9.600000	26.748601
161	-32.519846	10	9.946491	26.773336
162	-32.519154	4	9.600000	26.747606
163	-32.517581	10	8.097408	26.624470
164	-32.506492	6	10.000000	26.774244
165	-32.488866	4	9.600000	26.740885
166	-32.480088	10	9.951526	26.764877
167	-32.478505	0	0.000000	-1000.000000
168	-32.467524	5	10.000000	26.765591
169	-32.445223	5	10.000000	26.760635
170	-32.444367	5	10.000000	26.760445
171	-32.439226	10	9.955105	26.756056
172	-32.382227	5	10.000000	26.746616
173	-32.381819	3	8.400000	26.620755
174	-32.3574	10	9.893776	26.733380
175	-32.354131	5	10.000000	26.740354
176	-32.324988	10	9.194520	26.673277
177	-32.303841	10	9.170760	26.666690
178	-32.300371	10	9.947712	26.724576
179	-32.290784	10	7.111725	26.480353
180	-32.276372	10	6.061927	26.361921
181	-32.264071	10	7.529632	26.515573
182	-32.254077	5	10.000000	26.718012
183	-32.247508	10	9.192756	26.655828
184	-32.236396	10	9.858872	26.703804
185	-32.234137	10	8.162734	26.567114
186	-32.233704	3	8.400000	26.587685
187	-32.204915	10	7.488772	26.498409
188	-32.201962	3	8.400000	26.580578
189	-32.184077	3	8.400000	26.576571
190	-32.164055	10	7.207967	26.461683
191	-32.163822	10	9.957175	26.694703
192	-32.161263	10	6.223819	26.355161
193	-32.157402	10	8.089382	26.543409
194	-32.151386	10	9.952947	26.691607
195	-32.141627	10	7.989753	26.530931
196	-32.11788	5	10.000000	26.687488
197	-32.102801	10	9.187044	26.622937
198	-32.095129	5	10.000000	26.682376
199	-32.094599	10	9.193464	26.621597
200	-32.093614	10	9.180769	26.620379
201	-32.089294	5	10.000000	26.681065
202	-32.068865	10	7.579292	26.476539
203	-32.067911	10	7.783903	26.495539
204	-32.062376	0	0.000000	-1000.000000
205	-32.05208	4	9.600000	26.643248
206	-32.01836	10	9.951312	26.661581
207	-32.010847	5	10.000000	26.663409
208	-31.996867	10	8.123180	26.510316
209	-31.991318	10	9.418570	26.615797
210	-31.983971	10	7.642138	26.463374
211	-31.968757	10	9.900243	26.646686
212	-31.968086	10	9.950330	26.650175
213	-31.962873	10	7.409342	26.436299
214	-31.96169	10	2.316059	25.597195
215	-31.921749	6	10.000000	26.643303
216	-31.919416	3	8.400000	26.517006
