mol_index_in_input	Score	Spheres	CapScore	MergedScore
217	-31.906955	3	8.400000	26.514190
218	-31.881394	10	8.953391	26.554431
219	-31.876736	6	10.000000	26.633124
220	-31.875941	10	8.010010	26.472882
221	-31.871864	2	6.400000	26.310093
222	-31.869241	10	2.198175	25.538617
223	-31.860271	5	10.000000	26.629397
224	-31.853412	10	8.220796	26.486519
225	-31.851033	6	10.000000	26.627305
226	-31.849662	5	10.000000	26.626995
227	-31.849015	10	9.948985	26.623159
228	-31.84617	3	8.400000	26.500435
229	-31.841928	10	2.421967	25.602369
230	-31.8366	10	7.325760	26.399561
231	-31.831302	10	9.955250	26.619600
232	-31.828815	9	10.000000	26.622272
233	-31.822178	5	10.000000	26.620767
234	-31.806515	10	9.951043	26.613676
235	-31.800473	5	10.000000	26.615846
236	-31.792373	3	8.400000	26.488239
237	-31.790714	10	9.456882	26.573350
238	-31.767864	5	10.000000	26.608445
239	-31.759055	10	9.953621	26.603091
240	-31.753693	4	9.600000	26.575780
241	-31.740473	4	9.600000	26.572776
242	-31.737645	10	9.946926	26.597741
243	-31.735378	3	8.400000	26.475295
244	-31.712622	6	10.000000	26.595890
245	-31.711468	5	10.000000	26.595628
246	-31.710712	4	9.600000	26.566009
247	-31.709008	3	8.400000	26.469299
248	-31.708459	10	7.241781	26.362152
249	-31.666465	2	6.400000	26.263456
250	-31.663967	5	10.000000	26.584815
251	-31.659776	5	10.000000	26.583860
252	-31.65076	3	8.400000	26.456036
253	-31.637676	3	8.400000	26.453053
254	-31.635228	10	7.461758	26.367058
255	-31.628686	10	9.191097	26.515927
256	-31.616179	3	8.400000	26.448150
257	-31.603888	10	5.828667	26.181734
258	-31.597347	10	9.197704	26.509295
259	-31.5925	10	9.951351	26.564997
260	-31.579052	10	7.161742	26.324635
261	-31.576673	10	9.949202	26.561227
262	-31.568286	2	6.400000	26.241056
263	-31.552396	10	9.940904	26.555077
264	-31.550404	5	10.000000	26.558897
265	-31.543558	10	9.937306	26.552795
266	-31.532812	0	0.000000	-1000.000000
267	-31.511706	10	3.481352	25.788904
268	-31.506349	10	8.515931	26.432936
269	-31.486214	3	8.400000	26.418437
270	-31.476914	10	7.361967	26.321157
271	-31.475542	5	10.000000	26.541761
272	-31.4748	4	9.600000	26.512144
273	-31.473912	10	9.960774	26.538552
274	-31.472829	3	8.400000	26.415369
275	-31.472789	10	3.777250	25.838834
276	-31.471759	10	9.961789	26.538132
277	-31.469683	10	9.194150	26.479812
278	-31.448633	5	10.000000	26.535591
279	-31.444578	10	9.200215	26.474531
280	-31.444247	10	8.999198	26.458519
281	-31.441043	10	7.716477	26.346857
282	-31.437501	10	9.182978	26.471554
283	-31.437204	10	9.940221	26.528644
284	-31.41776	3	8.400000	26.402737
285	-31.412757	5	10.000000	26.527357
286	-31.411942	3	8.400000	26.401401
287	-31.397286	10	7.479178	26.314280
288	-31.394281	5	10.000000	26.523113
289	-31.381072	10	7.703779	26.331897
290	-31.368416	10	9.957404	26.514089
291	-31.367217	10	9.462848	26.477065
292	-31.362578	9	10.000000	26.515825
293	-31.356471	5	10.000000	26.514421
294	-31.355405	0	0.000000	-1000.000000
295	-31.352766	10	2.051414	25.370913
296	-31.350921	10	9.191533	26.452332
297	-31.334774	10	7.041404	26.256395
298	-31.323229	10	9.173804	26.444565
299	-31.323115	10	9.928017	26.501532
300	-31.319358	5	10.000000	26.505878
301	-31.307625	4	9.600000	26.473728
302	-31.297646	2	6.400000	26.178947
303	-31.29755	6	10.000000	26.500853
304	-31.290244	10	9.905532	26.492322
305	-31.274283	10	9.183632	26.434057
306	-31.254068	6	10.000000	26.490824
307	-31.249908	10	7.404497	26.273101
308	-31.248825	5	10.000000	26.489614
309	-31.248586	10	9.880243	26.480868
310	-31.239896	6	10.000000	26.487553
311	-31.236722	10	9.917023	26.480809
312	-31.234593	10	7.517122	26.280454
313	-31.225207	3	8.400000	26.358391
314	-31.222752	10	7.265385	26.253149
315	-31.220565	4	9.600000	26.453641
316	-31.215563	10	9.178532	26.420100
317	-31.210237	10	7.490225	26.272242
318	-31.204165	5	10.000000	26.479298
319	-31.182919	10	9.953036	26.470989
320	-31.17468	10	9.943610	26.468399
321	-31.163581	5	10.000000	26.469910
322	-31.156836	5	10.000000	26.468348
323	-31.156199	6	10.000000	26.468201
324	-31.153298	2	6.400000	26.145601
325	-31.151198	5	10.000000	26.467043
326	-31.139948	10	9.905173	26.457564
327	-31.137084	5	10.000000	26.463774
328	-31.115103	10	9.948085	26.454925
329	-31.112148	4	9.600000	26.428548
330	-31.104613	6	10.000000	26.456247
331	-31.103799	10	8.066378	26.301055
332	-31.102623	4	9.600000	26.426339
333	-31.100627	10	8.120717	26.305162
334	-31.088622	10	8.284853	26.316812
335	-31.08365	10	4.062361	25.801579
336	-31.077979	10	8.097693	26.297859
337	-31.077194	10	2.781770	25.526923
338	-31.073525	10	8.091675	26.296289
339	-31.057926	10	3.201581	25.623840
340	-31.057197	10	9.916996	26.439230
341	-31.055841	5	10.000000	26.444928
342	-31.054985	10	1.930296	25.258176
343	-31.053564	10	7.863508	26.271021
344	-31.053482	10	8.123838	26.294496
345	-31.043082	5	10.000000	26.441964
346	-31.040933	10	8.530998	26.326857
347	-31.019936	10	6.051717	26.074291
348	-31.017085	10	7.498778	26.228284
349	-31.008659	5	10.000000	26.433960
350	-30.999726	0	0.000000	-1000.000000
351	-30.996894	10	4.037826	25.777048
352	-30.993742	4	9.600000	26.401042
353	-30.986038	10	9.937832	26.424198
354	-30.98002	6	10.000000	26.427295
355	-30.977509	10	9.164956	26.363810
356	-30.975079	7	10.000000	26.426144
357	-30.962277	10	2.068873	25.286621
358	-30.958559	3	8.400000	26.296527
359	-30.943998	10	9.916715	26.412870
360	-30.940436	10	9.879555	26.409331
361	-30.937807	5	10.000000	26.417459
362	-30.930044	0	0.000000	-1000.000000
363	-30.927393	4	9.600000	26.385584
364	-30.924069	10	8.703060	26.314053
365	-30.913422	10	8.099689	26.259741
366	-30.908793	10	9.173561	26.348468
367	-30.906583	3	8.400000	26.284406
368	-30.903807	10	7.313463	26.183841
369	-30.902471	5	10.000000	26.409216
370	-30.899819	5	10.000000	26.408596
371	-30.892866	10	9.199037	26.346751
372	-30.885107	10	7.390481	26.187031
373	-30.864592	5	10.000000	26.400368
374	-30.863185	5	10.000000	26.400039
375	-30.862073	6	10.000000	26.399779
376	-30.856923	10	9.167274	26.335858
377	-30.855237	10	7.592510	26.199506
378	-30.844384	10	8.312936	26.262359
379	-30.83366	10	7.399634	26.175898
380	-30.830512	10	9.187169	26.331245
381	-30.824411	2	6.400000	26.069043
382	-30.823049	5	10.000000	26.390652
383	-30.820698	10	9.951281	26.386579
384	-30.814713	5	10.000000	26.388701
385	-30.811057	5	10.000000	26.387845
386	-30.806958	10	9.167886	26.324216
387	-30.800083	10	7.471036	26.174966
388	-30.797923	10	9.046688	26.312501
389	-30.769386	6	10.000000	26.378083
390	-30.7663	10	7.939342	26.210905
391	-30.766138	7	10.000000	26.377321
392	-30.762621	10	9.807172	26.362451
393	-30.755664	10	9.182005	26.313306
394	-30.754039	10	7.685693	26.184608
395	-30.752994	3	8.400000	26.248470
396	-30.751199	0	0.000000	-1000.000000
397	-30.749175	10	7.205543	26.136933
398	-30.742623	10	8.859658	26.284467
399	-30.724182	10	8.801326	26.275374
400	-30.723451	10	9.940757	26.363020
401	-30.722993	5	10.000000	26.367198
402	-30.714714	5	10.000000	26.365254
403	-30.714248	10	9.197268	26.304783
404	-30.70899	10	9.162127	26.300787
405	-30.7041	10	8.901462	26.278818
406	-30.702234	10	6.886007	26.093192
407	-30.698224	4	9.600000	26.331934
408	-30.696609	10	8.043411	26.203941
409	-30.696555	10	7.958547	26.196277
410	-30.694443	0	0.000000	-1000.000000
411	-30.691382	10	7.731273	26.174162
412	-30.690185	0	0.000000	-1000.000000
413	-30.688134	10	7.807241	26.180452
414	-30.686232	10	7.520957	26.153056
415	-30.683556	5	10.000000	26.357933
416	-30.675842	8	10.000000	26.356119
417	-30.67226	10	9.808414	26.341323
418	-30.661597	5	10.000000	26.352769
419	-30.661278	4	9.600000	26.323247
420	-30.655875	10	9.946251	26.347535
421	-30.647155	10	9.216927	26.290549
422	-30.646277	5	10.000000	26.349164
423	-30.645652	10	9.183799	26.287598
424	-30.644855	10	8.763158	26.253590
425	-30.630861	10	7.202287	26.108798
426	-30.625803	2	6.400000	26.022415
427	-30.623495	10	9.948101	26.340046
428	-30.620814	3	8.400000	26.217398
429	-30.608885	10	7.854452	26.166148
430	-30.600234	10	6.062127	25.977266
431	-30.599205	10	9.473815	26.299084
432	-30.599084	10	7.544423	26.134788
433	-30.596861	10	9.174471	26.275371
434	-30.594662	8	10.000000	26.337004
435	-30.594105	10	5.487953	25.904043
436	-30.593926	10	9.955331	26.333601
437	-30.590132	10	9.946509	26.332067
438	-30.58797	4	9.600000	26.305979
439	-30.574326	10	9.182669	26.270701
440	-30.573372	10	9.945538	26.328044
441	-30.566161	10	9.211740	26.271054
442	-30.564998	10	9.473241	26.290972
443	-30.561289	9	10.000000	26.329131
444	-30.555655	5	10.000000	26.327802
445	-30.554167	5	10.000000	26.327450
446	-30.553603	10	9.877608	26.318434
447	-30.553258	10	8.038836	26.169765
448	-30.551819	10	8.103161	26.175174
449	-30.548195	10	7.537048	26.122076
450	-30.543105	7	10.000000	26.324838
451	-30.538728	10	8.033461	26.165851
452	-30.535464	10	8.046052	26.166210
453	-30.5287	10	9.179573	26.259685
454	-30.528583	10	9.211545	26.262165
455	-30.523263	10	2.393359	25.288705
456	-30.519041	10	6.302645	25.986167
457	-30.507226	8	10.000000	26.316360
458	-30.500868	5	10.000000	26.314856
459	-30.496576	10	9.966212	26.311399
460	-30.493303	7	10.000000	26.313067
461	-30.493202	10	7.439932	26.099723
462	-30.490434	10	7.577482	26.112283
463	-30.488786	5	10.000000	26.311998
464	-30.484043	4	9.600000	26.281429
465	-30.48335	10	8.518242	26.195026
466	-30.47743	5	10.000000	26.309311
467	-30.475088	10	7.538823	26.104962
468	-30.467368	10	3.645739	25.579070
469	-30.467293	5	10.000000	26.306911
470	-30.466481	10	9.953829	26.303381
471	-30.464455	4	9.600000	26.276792
472	-30.463889	5	10.000000	26.306105
473	-30.463868	6	10.000000	26.306100
474	-30.458244	10	9.865878	26.295028
475	-30.454658	10	9.231224	26.246216
476	-30.44956	10	9.945213	26.298748
477	-30.442259	4	9.600000	26.271535
478	-30.440568	10	7.511004	26.094120
479	-30.432723	10	9.226548	26.240653
480	-30.428467	5	10.000000	26.297713
481	-30.428437	10	9.904431	26.290779
482	-30.428159	6	10.000000	26.297640
483	-30.417892	10	9.919734	26.289392
484	-30.417072	6	10.000000	26.295011
485	-30.412657	7	10.000000	26.293964
486	-30.412252	10	9.952617	26.290442
487	-30.411105	0	0.000000	-1000.000000
488	-30.410423	4	9.600000	26.263987
489	-30.409073	10	9.951853	26.289632
490	-30.408209	10	9.180804	26.231255
491	-30.407296	6	10.000000	26.292692
492	-30.401682	2	6.400000	25.969432
493	-30.399754	3	8.400000	26.165133
494	-30.391153	10	8.716734	26.189791
495	-30.384133	2	6.400000	25.965267
496	-30.379378	10	9.942077	26.281876
497	-30.378855	5	10.000000	26.285942
498	-30.378023	5	10.000000	26.285744
499	-30.373788	10	7.370067	26.064614
500	-30.369572	10	6.289691	25.949268
501	-30.367822	10	2.968966	25.407338
502	-30.367384	10	7.996309	26.121921
503	-30.363251	4	9.600000	26.252789
504	-30.35905	10	9.996516	26.280986
505	-30.356844	5	10.000000	26.280714
506	-30.356054	4	9.600000	26.251079
507	-30.352981	10	9.951100	26.276260
508	-30.349907	6	10.000000	26.279065
509	-30.349219	0	0.000000	-1000.000000
510	-30.343157	3	8.400000	26.151691
511	-30.342666	10	9.207414	26.217778
512	-30.342426	10	7.753980	26.093791
513	-30.342163	4	9.600000	26.247777
514	-30.340962	10	7.386818	26.058451
515	-30.340883	5	10.000000	26.276920
516	-30.340132	10	9.464329	26.237027
517	-30.338207	10	9.207309	26.216709
518	-30.330589	3	8.400000	26.148703
519	-30.329225	10	7.159207	26.033084
520	-30.328519	10	9.958210	26.270959
521	-30.324456	3	8.400000	26.147244
522	-30.303953	0	0.000000	-1000.000000
523	-30.291992	2	6.400000	25.943359
524	-30.287478	10	9.928664	26.259048
525	-30.28287	3	8.400000	26.137345
526	-30.277749	10	8.830010	26.172138
527	-30.275621	5	10.000000	26.261387
528	-30.272115	5	10.000000	26.260552
529	-30.261981	5	10.000000	26.258137
530	-30.255772	6	10.000000	26.256657
531	-30.253142	10	9.945313	26.252074
532	-30.247108	3	8.400000	26.128821
533	-30.24071	10	9.218264	26.194348
534	-30.234834	10	9.161071	26.188457
535	-30.229114	10	9.996640	26.250056
536	-30.228235	5	10.000000	26.250088
537	-30.225907	10	9.166561	26.186759
538	-30.225184	10	5.764119	25.851946
539	-30.224485	5	10.000000	26.249193
540	-30.22242	3	8.400000	26.122931
541	-30.222029	3	8.400000	26.122838
542	-30.218853	4	9.600000	26.218402
543	-30.216109	3	8.400000	26.121425
544	-30.209762	10	6.118821	25.891341
545	-30.208263	10	9.184797	26.183981
546	-30.207384	10	9.435226	26.203175
547	-30.205734	10	9.456625	26.204415
548	-30.197804	4	9.600000	26.213376
549	-30.197351	10	9.198187	26.182425
550	-30.193046	10	9.227820	26.183717
551	-30.190375	6	10.000000	26.241048
552	-30.175365	10	9.937500	26.232938
553	-30.162619	4	9.600000	26.204966
554	-30.156188	5	10.000000	26.232875
555	-30.155164	10	8.292470	26.097567
556	-30.154483	10	6.996545	25.974824
557	-30.153812	3	8.400000	26.106537
558	-30.152491	3	8.400000	26.106221
559	-30.14924	10	4.941497	25.722723
560	-30.14609	7	10.000000	26.230459
561	-30.13894	5	10.000000	26.228748
562	-30.137233	10	6.412373	25.907804
563	-30.132482	5	10.000000	26.227202
564	-30.130325	5	10.000000	26.226686
565	-30.128915	10	2.055836	25.085246
566	-30.126046	10	9.951279	26.222138
567	-30.113551	5	10.000000	26.222669
568	-30.111514	10	7.307492	25.995905
569	-30.111333	10	9.947756	26.218359
570	-30.109736	10	6.845275	25.948345
571	-30.108863	5	10.000000	26.221546
572	-30.104179	5	10.000000	26.220423
573	-30.097402	6	10.000000	26.218799
574	-30.092955	10	9.957980	26.214696
575	-30.091238	10	9.951394	26.213807
576	-30.083489	5	10.000000	26.215464
577	-30.082892	10	9.807036	26.201265
578	-30.082506	6	10.000000	26.215228
579	-30.079748	10	9.211343	26.155309
580	-30.077496	6	10.000000	26.214027
581	-30.075805	5	10.000000	26.213621
582	-30.067534	10	7.470900	26.001314
583	-30.066788	3	8.400000	26.085689
584	-30.065807	5	10.000000	26.211223
585	-30.063674	5	10.000000	26.210711
586	-30.06362	5	10.000000	26.210698
587	-30.061315	10	9.950259	26.206548
588	-30.055216	10	9.806023	26.194552
589	-30.048413	6	10.000000	26.207049
590	-30.036108	5	10.000000	26.204094
591	-30.029238	10	9.945108	26.198473
592	-30.026954	10	9.186449	26.140685
593	-30.026857	3	8.400000	26.076102
594	-30.025943	10	6.130342	25.848672
595	-30.025767	10	9.943622	26.197532
596	-30.016811	3	8.400000	26.073689
597	-30.013536	10	7.657345	26.006129
598	-30.013234	5	10.000000	26.198598
599	-30.012363	10	5.228000	25.730555
600	-30.011727	4	9.600000	26.168789
601	-30.006105	10	8.079654	26.043068
602	-30.00585	10	7.710884	26.009308
603	-30.00422	6	10.000000	26.196432
604	-30.002798	3	8.400000	26.070320
605	-30.002701	5	10.000000	26.196066
606	-30.001567	10	9.189677	26.134837
607	-29.999803	10	9.944572	26.191360
608	-29.995909	10	9.194656	26.133867
609	-29.993182	3	8.400000	26.068008
610	-29.989247	10	7.185915	25.954453
611	-29.988936	10	9.182755	26.131256
612	-29.986058	5	10.000000	26.192064
613	-29.984981	4	9.600000	26.162358
614	-29.977985	10	9.983381	26.188922
615	-29.976592	10	9.949114	26.186106
616	-29.966005	10	9.358534	26.139416
617	-29.956034	5	10.000000	26.184838
618	-29.955044	10	9.957908	26.181557
619	-29.95213	5	10.000000	26.183898
620	-29.944211	10	2.787105	25.260410
621	-29.942078	4	9.600000	26.152029
622	-29.941627	7	10.000000	26.181368
623	-29.939384	10	8.002832	26.020119
624	-29.939341	10	8.861640	26.093640
625	-29.93768	10	8.741102	26.083360
626	-29.9344	5	10.000000	26.179626
627	-29.934306	10	9.206444	26.119962
628	-29.929893	5	10.000000	26.178540
629	-29.926277	10	6.848087	25.904555
630	-29.919268	6	10.000000	26.175979
631	-29.91571	10	4.185083	25.546785
632	-29.913815	10	7.459184	25.963209
633	-29.905872	10	7.218288	25.937613
634	-29.904953	3	8.400000	26.046757
635	-29.899601	10	7.839617	25.995663
636	-29.897319	3	8.400000	26.044916
637	-29.893856	5	10.000000	26.169850
638	-29.893521	10	7.300734	25.942825
639	-29.888721	4	9.600000	26.139163
640	-29.887791	5	10.000000	26.168386
641	-29.875321	5	10.000000	26.165376
642	-29.870424	10	9.880635	26.155531
643	-29.869294	10	8.014924	26.004301
644	-29.868626	5	10.000000	26.163759
645	-29.866302	10	9.145415	26.098758
646	-29.86367	10	9.460593	26.122563
647	-29.863152	10	7.382883	25.943565
648	-29.862063	10	9.152962	26.098329
649	-29.856848	10	9.866925	26.151250
650	-29.855337	3	8.400000	26.034779
651	-29.851363	6	10.000000	26.159589
652	-29.850727	3	8.400000	26.033665
653	-29.848546	4	9.600000	26.129461
654	-29.845478	10	7.288464	25.930010
655	-29.84472	5	10.000000	26.157983
656	-29.842659	10	7.743013	25.972968
657	-29.841047	5	10.000000	26.157095
658	-29.837167	5	10.000000	26.156157
659	-29.837095	10	7.705297	25.968101
660	-29.831316	10	9.184550	26.093383
661	-29.823876	6	10.000000	26.152943
662	-29.821805	0	0.000000	-1000.000000
663	-29.820613	10	9.936055	26.147527
664	-29.818509	10	9.216578	26.092797
665	-29.816122	10	9.182836	26.089574
666	-29.813077	3	8.400000	26.024562
667	-29.812446	4	9.600000	26.120731
668	-29.812061	5	10.000000	26.150085
669	-29.809851	5	10.000000	26.149550
670	-29.809233	10	8.707378	26.049556
671	-29.80767	10	9.946192	26.145131
672	-29.806104	10	7.267939	25.918453
673	-29.802698	5	10.000000	26.147819
674	-29.801818	10	9.182594	26.086093
675	-29.795444	10	7.441285	25.932875
676	-29.79489	5	10.000000	26.145929
677	-29.7923	3	8.400000	26.019533
678	-29.788065	10	7.372715	25.924411
679	-29.78508	10	6.200521	25.798784
680	-29.779371	10	7.308254	25.915970
681	-29.777944	10	8.515501	26.025907
682	-29.775344	10	9.949431	26.137538
683	-29.773815	10	9.958170	26.137801
684	-29.769946	3	8.400000	26.014118
685	-29.765072	10	8.238909	25.998969
686	-29.762039	6	10.000000	26.137971
687	-29.761594	10	7.349772	25.915749
688	-29.760058	10	7.270743	25.907579
689	-29.759581	5	10.000000	26.137376
690	-29.758258	3	8.400000	26.011286
691	-29.749333	10	8.628538	26.028485
692	-29.743414	10	7.280955	25.904556
693	-29.72675	10	9.149800	26.065319
694	-29.723787	6	10.000000	26.128694
695	-29.717439	4	9.600000	26.097707
