mel_idx	Score	CS_pdb	Sp_pdb	MS_pdb	CS_mol2	Sp_mol2	MS_mol2	d_MS
1	-42.213435	8.139992	10	28.510665	8.582744	10	28.548871	-0.0382
2	-40.824736	8.142733	10	28.269615	8.593205	10	28.308456	-0.0388
3	-38.456194	9.208017	10	27.927166	9.370825	10	27.939808	-0.0126
4	-38.168356	9.191713	10	27.871693	9.439421	10	27.890875	-0.0192
5	-37.899897	7.629029	10	27.686360	8.320460	10	27.748942	-0.0626
6	-37.879962	10.000000	5	27.877779	9.978726	10	27.876243	+0.0015
7	-37.659212	9.163034	10	27.772567	9.430277	10	27.793305	-0.0207
8	-37.614231	9.192729	10	27.766280	9.455682	10	27.786624	-0.0203
9	-37.462121	10.000000	5	27.797767	6.400000	2	27.475839	+0.3219
10	-37.304438	7.515396	10	27.561301	8.166703	10	27.621254	-0.0600
11	-37.204305	10.000000	5	27.747952	6.400000	2	27.426024	+0.3219
12	-36.622102	8.182924	10	27.489522	8.701309	10	27.533830	-0.0443
13	-36.558792	7.549216	10	27.418896	8.262290	10	27.484003	-0.0651
14	-36.410022	10.000000	5	27.592283	6.400000	2	27.270354	+0.3219
15	-36.238422	9.188394	10	27.497148	9.472298	10	27.519098	-0.0220
16	-36.14643	9.166439	10	27.477087	9.419994	10	27.496769	-0.0197
17	-36.056649	9.150675	10	27.457906	9.458733	10	27.481791	-0.0239
18	-36.056233	10.000000	5	27.521848	6.400000	2	27.199920	+0.3219
19	-36.052431	9.203322	10	27.461201	9.469993	10	27.481805	-0.0206
20	-36.039152	8.400000	3	27.392660	6.400000	2	27.196502	+0.1962
21	-35.980208	10.000000	5	27.506622	6.400000	2	27.184694	+0.3219
22	-35.975505	7.324305	10	27.281061	8.258336	10	27.367641	-0.0866
23	-35.933092	7.843416	10	27.321947	8.329989	10	27.365363	-0.0434
24	-35.905412	9.952430	10	27.488171	9.975244	10	27.489823	-0.0017
25	-35.794157	9.208294	10	27.409728	9.479392	10	27.430658	-0.0209
26	-35.762212	10.000000	5	27.462784	6.400000	2	27.140856	+0.3219
27	-35.760175	2.359889	10	26.420769	2.963013	10	26.584942	-0.1642
28	-35.622598	8.941049	10	27.353826	9.364029	10	27.387169	-0.0333
29	-35.620322	10.000000	5	27.434107	6.400000	2	27.112179	+0.3219
30	-35.595319	8.127209	10	27.279458	8.667218	10	27.325863	-0.0464
31	-35.594631	10.000000	5	27.428903	6.400000	2	27.106975	+0.3219
32	-35.568565	8.057065	10	27.267782	8.647025	10	27.318756	-0.0510
33	-35.470692	2.114070	10	26.282790	2.880426	10	26.505919	-0.2231
34	-35.416135	2.041373	10	26.246444	2.971165	10	26.517189	-0.2707
35	-35.404279	9.204376	10	27.330419	9.467682	10	27.350765	-0.0203
36	-35.388891	9.208101	10	27.327575	9.479292	10	27.348513	-0.0209
37	-35.358472	9.149763	10	27.316787	9.457770	10	27.340670	-0.0239
38	-35.354236	9.953396	10	27.376650	9.986702	10	27.379060	-0.0024
39	-35.338698	7.563881	10	27.175448	8.315854	10	27.243817	-0.0684
40	-35.30336	9.212992	10	27.310503	9.474804	10	27.330716	-0.0202
41	-35.20143	6.999116	10	27.091397	7.972473	10	27.185324	-0.0939
42	-35.197939	8.990857	10	27.271325	9.397460	10	27.303231	-0.0319
43	-35.16579	9.204723	10	27.281691	9.484959	10	27.303324	-0.0216
44	-35.105112	10.000000	5	27.329010	6.400000	2	27.007082	+0.3219
45	-35.097335	9.193699	10	27.266771	9.468355	10	27.288005	-0.0212
46	-35.004086	9.197773	10	27.247899	9.440671	10	27.266702	-0.0188
47	-34.998287	9.212816	10	27.247883	9.474649	10	27.268098	-0.0202
48	-34.943758	9.190935	10	27.234920	9.471840	10	27.256637	-0.0217
49	-34.892916	10.000000	5	27.285275	8.400000	3	27.159506	+0.1258
50	-34.874876	9.212817	10	27.222402	9.474662	10	27.242618	-0.0202
51	-34.841681	10.000000	5	27.274676	6.400000	2	26.952748	+0.3219
52	-34.781341	8.516091	10	27.146304	8.957838	10	27.182784	-0.0365
53	-34.753099	9.190660	10	27.195433	9.472692	10	27.217236	-0.0218
54	-34.62673	7.584230	10	27.030573	8.212681	10	27.087998	-0.0574
55	-34.591559	7.378624	10	27.003417	8.127130	10	27.073114	-0.0697
56	-34.568701	9.205351	10	27.158209	9.477597	10	27.179233	-0.0210
57	-34.359463	10.000000	5	27.174142	6.400000	2	26.852214	+0.3219
58	-34.342168	5.476818	10	26.736215	6.954521	10	26.908522	-0.1723
59	-34.294997	10.000000	5	27.160595	6.400000	2	26.838667	+0.3219
60	-34.28877	9.205532	10	27.099572	9.474791	10	27.120368	-0.0208
61	-34.248297	9.177720	10	27.088870	9.460027	10	27.110724	-0.0219
62	-34.244809	0.000000	0	-1000.000000	0.000000	0	-1000.000000	+0.0000
63	-34.195005	9.119865	10	27.073075	9.377854	10	27.093197	-0.0201
64	-34.15707	10.000000	7	27.131526	0.000000	0	-1000.000000	+1027.1315
65	-34.14489	0.000000	0	-1000.000000	0.000000	0	-1000.000000	+0.0000
66	-34.102606	8.223557	10	26.978932	8.809665	10	27.028594	-0.0497
67	-34.099404	8.400000	3	26.993568	6.400000	2	26.797409	+0.1962
68	-34.091567	8.116676	10	26.967160	8.588787	10	27.007942	-0.0408
69	-34.068823	9.445054	10	27.071681	9.640850	10	27.086481	-0.0148
70	-34.041766	7.603928	10	26.909542	8.181505	10	26.962353	-0.0528
71	-33.970378	9.220940	10	27.033484	9.457165	10	27.051731	-0.0182
72	-33.970007	9.214477	10	27.032899	9.472777	10	27.052842	-0.0199
73	-33.939792	9.206204	10	27.025832	9.459855	10	27.045438	-0.0196
74	-33.931662	5.745883	10	26.684065	6.989174	10	26.825362	-0.1413
75	-33.911651	10.000000	5	27.079510	6.400000	2	26.757582	+0.3219
76	-33.854857	2.034438	10	25.918770	2.812015	10	26.152257	-0.2335
77	-33.826802	9.394570	10	27.016388	9.615105	10	27.033126	-0.0167
78	-33.808786	9.206074	10	26.997925	9.455752	10	27.017228	-0.0193
79	-33.78928	7.468760	10	26.842903	8.268527	10	26.916284	-0.0734
80	-33.782808	0.000000	0	-1000.000000	0.000000	0	-1000.000000	+0.0000
81	-33.723278	10.000000	5	27.039328	6.400000	2	26.717400	+0.3219
82	-33.718369	9.924772	10	27.032831	9.979488	10	27.036797	-0.0040
83	-33.717609	8.400000	3	26.912346	6.400000	2	26.716188	+0.1962
84	-33.701326	7.964298	10	26.870441	8.519089	10	26.919017	-0.0486
85	-33.695772	8.400000	3	26.907673	6.400000	2	26.711514	+0.1962
86	-33.666991	3.725892	10	26.315107	3.915406	10	26.350895	-0.0358
87	-33.661544	9.957061	10	27.023007	6.400000	2	26.704183	+0.3188
88	-33.65846	10.000000	6	27.025450	10.000000	5	27.025450	+0.0000
89	-33.642409	9.953005	10	27.018612	9.986055	10	27.021003	-0.0024
90	-33.622993	8.112768	10	26.866978	8.602734	10	26.909279	-0.0423
